1,left lateral geniculate nucleus (LGN)
2,left medial geniculate nucleus (MGN)
3,left anterior nuclei
4,left central nuclei
5,left lateral dorsal 
6,left lateral posterior
7,left medial dorsal
8,left pulvinar 
9,left ventral anterior nucleus
10,left ventral lateral nucleus
11,left ventral posterior nucleus
21,right lateral geniculate nucleus (LGN) 
22,right medial geniculate nucleus (MGN)
23,right anterior nuclei
24,right central nuclei
25,right lateral dorsal 
26,right lateral posterior
27,right medial dorsal
28,right pulvinar 
29,right ventral anterior nucleus
30,right ventral lateral nucleus
31,right ventral posterior nucleus
